,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0,4.701042620340983,0.14766485514035632,0.00827960968017578,0.001701296629282832,gblinear,8.596721064888449e-06,5,"{'booster': 'gblinear', 'learning_rate': 8.596721064888449e-06, 'max_depth': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
1,81.3754264831543,2.800544926345103,0.027003351847330728,0.007098015045356946,gbtree,9.332570856317036e-06,7,"{'booster': 'gbtree', 'learning_rate': 9.332570856317036e-06, 'max_depth': 7}",0.8929266709928617,0.7991088005941329,0.5789948841408366,0.6595278656607446,0.7521145087833442,0.7345309381237525,0.7647315582714971,0.7706467661691542,0.8697123519458544,0.8862413528055343,0.7739837398373984,0.5955555555555556,0.7740303541315344,0.6448557899268187,0.5485519591141397,0.7363675397368773,0.10579924736306867,5
2,57.82719481786092,1.315660563751582,0.023987436294555665,0.006872212339585941,gbtree,0.010004268488162904,5,"{'booster': 'gbtree', 'learning_rate': 0.010004268488162904, 'max_depth': 5}",0.870967741935484,0.7082210242587601,0.782820888238165,0.600358422939068,0.770053475935829,0.6162089752176825,0.7491248541423571,0.8319776899837322,0.8626943005181347,0.8931082981715893,0.7816666666666667,0.6088173547935619,0.8151879116621464,0.6353322528363047,0.5680379746835442,0.7396385221322018,0.10579382977203092,3
3,105.37252581914267,3.9942560116063097,0.029756863911946613,0.008945413225627313,dart,3.880545188597491e-05,7,"{'booster': 'dart', 'learning_rate': 3.880545188597491e-05, 'max_depth': 7}",0.8917692806221645,0.7994056463595839,0.5784726398075767,0.6595278656607446,0.7521145087833442,0.7350199733688416,0.7647315582714971,0.7706467661691542,0.8697123519458544,0.8862413528055343,0.7739837398373984,0.5955555555555556,0.7714285714285715,0.6448557899268187,0.5485519591141397,0.7361345039771188,0.10568870989725386,7
4,4.745260095596313,0.13477025111869853,0.007912921905517577,0.0015558441722301685,gblinear,0.0003672741077501725,5,"{'booster': 'gblinear', 'learning_rate': 0.0003672741077501725, 'max_depth': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
5,81.90847304662068,2.211788458368844,0.029113626480102538,0.009312003046233423,gbtree,2.392509645011319e-05,7,"{'booster': 'gbtree', 'learning_rate': 2.392509645011319e-05, 'max_depth': 7}",0.8917692806221645,0.7991088005941329,0.5788206979542719,0.6595278656607446,0.7521145087833442,0.7345309381237525,0.7647315582714971,0.7706467661691542,0.8697123519458544,0.8862413528055343,0.7739837398373984,0.5955555555555556,0.7714285714285715,0.6448557899268187,0.5485519591141397,0.7361053157861958,0.10564271932316789,8
6,4.593652884165446,0.12042162357792452,0.007775370279947917,0.001542874915657299,gblinear,1.4277167998604213e-06,3,"{'booster': 'gblinear', 'learning_rate': 1.4277167998604213e-06, 'max_depth': 3}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
7,105.42776586214701,2.4097461803149702,0.02981227238972982,0.009498020803028558,dart,9.775250163719522e-05,7,"{'booster': 'dart', 'learning_rate': 9.775250163719522e-05, 'max_depth': 7}",0.8964169381107491,0.8050879161990273,0.5784726398075767,0.6595278656607446,0.7645502645502644,0.7350199733688416,0.7658662092624358,0.7702265372168284,0.8697123519458544,0.8866692278140607,0.7739837398373984,0.5955555555555556,0.7714285714285715,0.6448557899268187,0.5490196078431373,0.7377595459018577,0.10654401549559207,4
8,4.697489674886068,0.14710973341117248,0.008104165395100912,0.0018457110402284355,gblinear,0.05766576124399917,9,"{'booster': 'gblinear', 'learning_rate': 0.05766576124399917, 'max_depth': 9}",0.7070844686648501,0.7051878354203935,0.8170250109697237,0.5459446214163196,0.6033670033670034,0.43545010467550593,0.6318045435062151,0.630456251234446,0.5853119823302044,0.8926955397543632,0.6881569726699369,0.5466135458167332,0.7488646684831971,0.43845682792406615,0.717391304347826,0.6462540453720522,0.12329767671770994,9
9,130.15779142379762,4.5968211355345865,0.04647053082784017,0.012081905344951618,gbtree,5.459938434858298e-05,11,"{'booster': 'gbtree', 'learning_rate': 5.459938434858298e-05, 'max_depth': 11}",0.8739159439626417,0.8478653036680698,0.7592545315292316,0.7280042918454934,0.7501639344262295,0.7844660194174757,0.7463581833761781,0.7913558013892462,0.9064327485380118,0.9082232011747431,0.798941798941799,0.6258607498087223,0.7749946478270178,0.736842105263158,0.5689381933438986,0.7734411636341278,0.08983848186220529,1
10,4.66340217590332,0.11178980962864261,0.007928895950317382,0.0016010031971953214,gblinear,5.982099884977319e-06,11,"{'booster': 'gblinear', 'learning_rate': 5.982099884977319e-06, 'max_depth': 11}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
11,106.5442197004954,3.497599128804765,0.03859829902648926,0.011274898914858986,gbtree,0.00010269202052300034,9,"{'booster': 'gbtree', 'learning_rate': 0.00010269202052300034, 'max_depth': 9}",0.8770987239758227,0.8280007756447547,0.7265625,0.6934417895271987,0.722466960352423,0.7121507472384666,0.7628951747088186,0.8106734434561627,0.8870967741935485,0.9001105786951713,0.7829181494661922,0.6153846153846154,0.815859390966687,0.6490536277602523,0.609105180533752,0.7595212287935911,0.091497661535561,2
12,106.40822420120239,2.8978157795749113,0.029949204126993815,0.009302033640110391,dart,3.8029318847461052e-06,7,"{'booster': 'dart', 'learning_rate': 3.8029318847461052e-06, 'max_depth': 7}",0.8923476005188068,0.7991088005941329,0.5789948841408366,0.6595278656607446,0.7521145087833442,0.7345309381237525,0.7647315582714971,0.7706467661691542,0.8697123519458544,0.8862413528055343,0.7739837398373984,0.5955555555555556,0.7740303541315344,0.6448557899268187,0.5485519591141397,0.736328935038607,0.10574220430397123,6
13,4.800585730870565,0.10245717713573577,0.007865428924560547,0.0016569446418528517,gblinear,0.0007386662156477593,5,"{'booster': 'gblinear', 'learning_rate': 0.0007386662156477593, 'max_depth': 5}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
14,31.399458980560304,3.9195985666180566,0.012495311101277669,0.005145668141683512,gbtree,1.7120158398135303e-06,3,"{'booster': 'gbtree', 'learning_rate': 1.7120158398135303e-06, 'max_depth': 3}",0.6196957566052842,0.6864847303443795,0.8673469387755102,0.6244828425407641,0.669407894736842,0.4306451612903226,0.694775435380385,0.7841487713083906,0.6583912611717976,0.7822489657766077,0.5218417945690673,0.5767731878409977,0.8206511269504912,0.35208333333333336,0.4140350877192982,0.6335341525562316,0.1477542696601314,10
